"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"146","West Bengal","Dr Sukanta Majumdar  (2024-2029)","Elected MP","157085364.9"
"147","Gujarat","DR. HEMANG JOSHI (2024-2029)","Elected MP","147000000"
"148","Maharashtra","DR. HEMANT VISHNU SAVARA (2024-2029)","Elected MP","147000000"
"149","Maharashtra","DR. KIRSAN NAMDEO (2024-2029)","Elected MP","147000000"
"150","Madhya Pradesh","DR. LATA WANKHEDE (2024-2029)","Elected MP","147000000"
"151","Kerala","DR. M.P ABDUSSAMAD SAMADANI (2024-2029)","Elected MP","170434031.11"
"152","Gujarat","DR. MANSUKH MANDAVIYA (2024-2029)","Elected MP","147000000"
"153","Karnataka","DR. PRABHA MALLIKARJUN (2024-2029)","Elected MP","150232324"
"154","Odisha","DR. PRADEEP KUMAR PANIGRAHY (2024-2029)","Elected MP","147000000"
"155","Maharashtra","DR. PRASHANT YADAORAO PADOLE (2024-2029)","Elected MP","159680283.39"
"156","Punjab","DR. RAJ KUMAR CHABBEWAL (2024-2029)","Elected MP","147000000"
"157","Madhya Pradesh","DR. RAJESH MISHRA (2024-2029)","Elected MP","262724510.35"
"158","Uttar Pradesh","DR. S P SINGH (2024-2029)","Elected MP","147000000"
"159","West Bengal","DR. SHARMILA SARKAR (2024-2029)","Elected MP","147000000"
"160","Karnataka","DR.K.SUDHAKAR (2024-2029)","Elected MP","147083957.11"
"161","Telangana","DR.MALLU RAVI (2024-2029)","Elected MP","147000000"
"162","Jharkhand","DULU MAHATO (2024-2029)","Elected MP","147000000"
"163","Tamil Nadu","DURAI VAIKO (2024-2029)","Elected MP","147000000"
"164","Madhya Pradesh","Durga Das Uikey  (2024-2029)","Elected MP","151569502.91"
"165","Rajasthan","Dushyant Singh (2024-2029)","Elected MP","147000000"
"166","Karnataka","E. TUKARAM (2024-2029)","Elected MP","147000000"
"167","Kerala","E.T. MOHAMMED BASHEER (2024-2029)","Elected MP","163895872.11"
"168","Telangana","EATALA RAJENDER (2024-2029)","Elected MP","327477390.86"
"169","Tamil Nadu","ESWARASAMY K (2024-2029)","Elected MP","162315106.11"
"170","Madhya Pradesh","Faggan Singh Kulaste (2024-2029)","Elected MP","151861648.41"
